page_id,url,title,snapshot_path,last_modified,last_checked
X007C3,https://www.cdc.gov.au/resources/publications/guidance-note-overseas-acquired-tick-borne-diseases-lyme-disease,Guidance note for medical practitioners and hospitals – Overseas-acquired tick-borne diseases: Lyme disease,data/ipfr_corpus/snapshots/X007C3.md,,2026-05-07
X00969,https://www.cdc.gov.au/resources/publications/enhealth-guidance-environmental-health-incident-management-framework,,data/ipfr_corpus/snapshots/X00969.md,,2026-05-07
X009EC,https://www.cdc.gov.au/resources/publications/cdna-national-guideline-outbreaks-respiratory-infection-rac,"National guideline for the prevention, control and public health management of outbreaks of acute respiratory infection in residential aged care homes",data/ipfr_corpus/snapshots/X009EC.md,,2026-05-07
X01983,https://www.cdc.gov.au/resources/publications/ssba-fact-sheet-3-legislative-framework,SSBA – Fact sheet 3 – Legislative framework,data/ipfr_corpus/snapshots/X01983.md,,2026-05-07
X020EC,https://www.cdc.gov.au/newsroom/news-and-articles/2517m-establish-independent-australian-centre-disease-control-cdc,$251.7m to establish an independent Australian Centre for Disease Control (CDC),data/ipfr_corpus/snapshots/X020EC.md,,2026-05-07
X025C9,https://www.cdc.gov.au/diseases/tetanus,Tetanus,data/ipfr_corpus/snapshots/X025C9.md,,2026-05-07
X028D1,https://www.cdc.gov.au/resources/publications/hiv-taskforce-roundtable-communique-17-october-2025,HIV Taskforce roundtable communique – 17 October 2025,data/ipfr_corpus/snapshots/X028D1.md,,2026-05-07
X02FF4,https://www.cdc.gov.au/resources/publications/enhealth-guidance-assessment-australias-regulatory-science-workforce-needs,,data/ipfr_corpus/snapshots/X02FF4.md,,2026-05-07
X0311D,https://www.cdc.gov.au/contacts/polio-expert-panel-secretariat,Polio Expert Panel secretariat,data/ipfr_corpus/snapshots/X0311D.md,,2026-05-07
X03493,https://www.cdc.gov.au/topics/environmental-health/indoor-air-quality,Indoor air quality,data/ipfr_corpus/snapshots/X03493.md,,2026-05-07
X036FE,https://www.cdc.gov.au/contacts/national-aboriginal-and-torres-strait-islander-health-protection-natsihp-subcommittee-secretariat,The National Aboriginal and Torres Strait Islander Health Protection (NATSIHP) subcommittee secretariat,data/ipfr_corpus/snapshots/X036FE.md,,2026-05-07
X03706,https://www.cdc.gov.au/resources/apps-and-tools/national-occupational-respiratory-disease-registry-monthly-data,National Occupational Respiratory Disease Registry – Monthly data,data/ipfr_corpus/snapshots/X03706.md,,2026-05-07
X04391,https://www.cdc.gov.au/topics/climate-and-health/pacific-climate-and-health-resilience-package,Pacific Climate and Health Resilience Package,data/ipfr_corpus/snapshots/X04391.md,,2026-05-07
X04A6A,https://www.cdc.gov.au/resources/publications/surveillance-case-definition-hepatitis-nec,,data/ipfr_corpus/snapshots/X04A6A.md,,2026-05-07
X0510F,https://www.cdc.gov.au/resources/publications/ssba-form-initial-registration,SSBA – Form – Initial registration,data/ipfr_corpus/snapshots/X0510F.md,,2026-05-07
X0629E,https://www.cdc.gov.au/resources/publications/nordr-patient-notification-questions,NORDR – Patient notification questions,data/ipfr_corpus/snapshots/X0629E.md,,2026-05-07
X06688,https://www.cdc.gov.au/resources/publications/arsr-4-6-19-may-2024,Australian Respiratory Surveillance Report 4 – 6 to 19 May 2024,data/ipfr_corpus/snapshots/X06688.md,,2026-05-07
X06FB3,https://www.cdc.gov.au/resources/publications/surveillance-case-definition-tularaemia,Tularaemia – Surveillance case definition,data/ipfr_corpus/snapshots/X06FB3.md,,2026-05-07
X0705E,https://www.cdc.gov.au/resources/publications/process-developing-and-reviewing-phlns-laboratory-case-definitions,Process for developing and reviewing PHLN’s laboratory case definitions,data/ipfr_corpus/snapshots/X0705E.md,,2026-05-07
X0742A,https://www.cdc.gov.au/resources/publications/cdna-national-guidelines-legionellosis,Legionellosis – CDNA National Guidelines for Public Health Units,data/ipfr_corpus/snapshots/X0742A.md,,2026-05-07
X07FFA,https://www.cdc.gov.au/resources/publications/brucellosis-laboratory-case-definition,Brucellosis – Laboratory case definition,data/ipfr_corpus/snapshots/X07FFA.md,,2026-05-07
X0845B,https://www.cdc.gov.au/resources/collections/nndss-public-datasets,National Notifiable Diseases Surveillance System (NNDSS) public datasets,data/ipfr_corpus/snapshots/X0845B.md,,2026-05-07
X0860E,https://www.cdc.gov.au/resources/collections/cheag-communiques,Climate and Health Expert Advisory Group (CHEAG) – Communiques,data/ipfr_corpus/snapshots/X0860E.md,,2026-05-07
X087B3,https://www.cdc.gov.au/resources/publications/ssba-form-start-handle-new-ssba,SSBA – Form – Start to handle a new SSBA,data/ipfr_corpus/snapshots/X087B3.md,,2026-05-07
X08D8B,https://www.cdc.gov.au/diseases/invasive-pneumococcal-disease-ipd,Invasive pneumococcal disease (IPD),data/ipfr_corpus/snapshots/X08D8B.md,,2026-05-07
X0A001,https://www.cdc.gov.au/resources/publications/surveillance-case-definition-rubella,Rubella – Surveillance case definition,data/ipfr_corpus/snapshots/X0A001.md,,2026-05-07
